Datetime,open,high,low,close
2021.04.07 11:29,1.189150,1.189270,1.189150,1.189260
2021.04.07 11:30,1.189250,1.189280,1.188900,1.189000
2021.04.07 11:31,1.189010,1.189200,1.188960,1.189150
2021.04.07 11:32,1.189160,1.189220,1.188820,1.188930
2021.04.07 11:33,1.188930,1.189100,1.188820,1.189100
2021.04.07 11:34,1.189110,1.189280,1.189080,1.189220
2021.04.07 11:35,1.189220,1.189220,1.189110,1.189190
2021.04.07 11:36,1.189170,1.189280,1.189100,1.189270
2021.04.07 11:37,1.189280,1.189280,1.189150,1.189270
2021.04.07 11:38,1.189290,1.189370,1.189130,1.189180
2021.04.07 11:39,1.189180,1.189280,1.189140,1.189150
2021.04.07 11:40,1.189160,1.189160,1.188880,1.188890
2021.04.07 11:41,1.188900,1.189050,1.188890,1.188990
2021.04.07 11:42,1.189000,1.189050,1.189000,1.189010
2021.04.07 11:43,1.189000,1.189000,1.188760,1.188900
2021.04.07 11:44,1.188900,1.188950,1.188800,1.188820
2021.04.07 11:45,1.188840,1.188900,1.188810,1.188890
2021.04.07 11:46,1.188910,1.189010,1.188840,1.189010
2021.04.07 11:47,1.189030,1.189130,1.188850,1.188880
2021.04.07 11:48,1.188870,1.188960,1.188870,1.188910
2021.04.07 11:49,1.188910,1.188970,1.188790,1.188880
2021.04.07 11:50,1.188880,1.188910,1.188790,1.188810
2021.04.07 11:51,1.188800,1.188860,1.188720,1.188730
2021.04.07 11:52,1.188760,1.188870,1.188720,1.188870
2021.04.07 11:53,1.188910,1.189010,1.188860,1.188860
2021.04.07 11:54,1.188860,1.189050,1.188860,1.188900
2021.04.07 11:55,1.188900,1.188960,1.188870,1.188910
2021.04.07 11:56,1.188920,1.188920,1.188700,1.188790
